TIME	TYPE	TILT_MOD	DATA
22:42:39	ser	-0.008613284866675548	{"neutral":0.005014019552618265,"happy":0.0073338644579052925,"sad":0.7838639616966248,"angry":0.19841277599334717,"surprise":0.005375444423407316}
22:42:39	pulse	0	78
22:42:40	pulse	0	78
22:42:41	fer	-0.011236684064067902	{"angry":0.05043092370033264,"happy":0.07049625366926193,"neutral":0.07010632008314133,"sad":0.801675021648407,"surprise":0.007291513495147228}
22:42:41	ser	-0.0002921497208056914	{"neutral":0.030931668356060982,"happy":0.09223952144384384,"sad":0.2722356617450714,"angry":0.4744665324687958,"surprise":0.13012662529945374}
22:42:41	pulse	0	78
22:42:42	pulse	0	78
22:42:43	ser	0.00010674575440927647	{"neutral":0.08224152773618698,"happy":0.214644193649292,"sad":0.3100108802318573,"angry":0.21789737045764923,"surprise":0.1752060353755951}
22:42:43	pulse	0	78
22:42:43	fer	-0.0003118497602346178	{"angry":0.08692318946123123,"happy":0.11607428640127182,"neutral":0.21703001856803894,"sad":0.5764634013175964,"surprise":0.003509132657200098}
22:42:44	pulse	0	78
22:42:45	ser	-0.0004052642120872009	{"neutral":0.023425260558724403,"happy":0.05229559913277626,"sad":0.45300063490867615,"angry":0.4293634295463562,"surprise":0.04191502928733826}
22:42:45	pulse	0	80
22:42:46	pulse	0	81
22:42:46	fer	-0.00038225651865060606	{"angry":0.09018298238515854,"happy":0.09705371409654617,"neutral":0.22516843676567078,"sad":0.584433376789093,"surprise":0.0031614345498383045}
22:42:47	ser	-0.0003266633494728409	{"neutral":0.02854999713599682,"happy":0.06647028774023056,"sad":0.43910062313079834,"angry":0.41161689162254333,"surprise":0.05426213890314102}
22:42:47	pulse	0	82
22:42:48	pulse	0	83
22:42:49	pulse	0	83
22:42:49	ser	-0.00033767526211084253	{"neutral":0.03338472917675972,"happy":0.05333058536052704,"sad":0.6067285537719727,"angry":0.2663037180900574,"surprise":0.04025236889719963}
22:42:50	fer	-0.00035771924388591433	{"angry":0.08923985064029694,"happy":0.09801291674375534,"neutral":0.235134094953537,"sad":0.5749465227127075,"surprise":0.0026666498742997646}
22:42:50	pulse	0	83
22:42:51	pulse	0	83
22:42:51	ser	-0.000041435032816956874	{"neutral":0.09400546550750732,"happy":0.2142263650894165,"sad":0.3343321979045868,"angry":0.231991708278656,"surprise":0.12544429302215576}
22:42:52	pulse	0	84
22:42:53	fer	-0.0002441546336620637	{"angry":0.08603846281766891,"happy":0.10784395039081573,"neutral":0.2698533535003662,"sad":0.5337401628494263,"surprise":0.002524120733141899}
22:42:53	pulse	0	85
22:42:53	ser	-0.0002949322222768336	{"neutral":0.030343877151608467,"happy":0.0912381112575531,"sad":0.2678506374359131,"angry":0.47991669178009033,"surprise":0.13065068423748016}
22:42:54	pulse	0	84
22:42:55	pulse	0	83
22:42:56	fer	-0.0005212578635358303	{"angry":0.10504117608070374,"happy":0.06415371596813202,"neutral":0.23306669294834137,"sad":0.585803210735321,"surprise":0.011935093440115452}
22:42:56	ser	-0.00028664622914103405	{"neutral":0.04026443883776665,"happy":0.10873160511255264,"sad":0.28642305731773376,"angry":0.4244421720504761,"surprise":0.14013876020908356}
22:42:56	pulse	0	82
22:42:57	pulse	0	82
22:42:58	ser	-0.0002920171909989791	{"neutral":0.027690419927239418,"happy":0.08605693280696869,"sad":0.2585795521736145,"angry":0.5009864568710327,"surprise":0.126686692237854}
22:42:58	pulse	0	81
22:42:59	fer	-0.0009544976897817581	{"angry":0.09668859839439392,"happy":0.014338284730911255,"neutral":0.06310909986495972,"sad":0.8124207258224487,"surprise":0.013443253003060818}
22:42:59	pulse	0	81
22:43:00	ser	-0.0003216204190661445	{"neutral":0.030702970921993256,"happy":0.08990385383367538,"sad":0.2741696834564209,"angry":0.4796532094478607,"surprise":0.12557023763656616}
22:43:00	pulse	0	81
22:43:01	pulse	0	82
22:43:02	fer	-0.0005982704825074937	{"angry":0.09148864448070526,"happy":0.08231059461832047,"neutral":0.08468685299158096,"sad":0.7287413477897644,"surprise":0.012772585265338421}
22:43:02	pulse	0	84
22:43:02	ser	-0.00030495213079885855	{"neutral":0.029363712295889854,"happy":0.08843056112527847,"sad":0.26624202728271484,"angry":0.48867443203926086,"surprise":0.12728926539421082}
22:43:03	pulse	0	85
22:43:04	pulse	0	87
22:43:04	ser	-0.00025464997123725644	{"neutral":0.033642273396253586,"happy":0.10087192058563232,"sad":0.3052739202976227,"angry":0.4194195866584778,"surprise":0.1407923400402069}
22:43:05	fer	-0.0007543574432934096	{"angry":0.16310235857963562,"happy":0.03357367217540741,"neutral":0.10798199474811554,"sad":0.6868622899055481,"surprise":0.00847973208874464}
22:43:05	pulse	0	88
22:43:06	pulse	0	89
22:43:06	ser	-0.000309320971717264	{"neutral":0.029170580208301544,"happy":0.08865644782781601,"sad":0.2641320824623108,"angry":0.4896559715270996,"surprise":0.12838484346866608}
22:43:07	pulse	0	88
22:43:08	fer	0.00008714420594763128	{"angry":0.21590812504291534,"happy":0.19603659212589264,"neutral":0.1651349663734436,"sad":0.42047345638275146,"surprise":0.0024468889459967613}
22:43:08	pulse	0	87
22:43:08	ser	-0.00027223536933114467	{"neutral":0.028672605752944946,"happy":0.08764806389808655,"sad":0.26252850890159607,"angry":0.49350041151046753,"surprise":0.1276504248380661}
22:43:09	pulse	0	85
22:43:10	pulse	0	84
22:43:11	ser	-0.00026907077875032437	{"neutral":0.028271431103348732,"happy":0.08674762398004532,"sad":0.2614651620388031,"angry":0.49662917852401733,"surprise":0.12688669562339783}
22:43:11	fer	0.0014203659974276264	{"angry":0.08494371175765991,"happy":0.48971623182296753,"neutral":0.10636346787214279,"sad":0.31411832571029663,"surprise":0.0048582227900624275}
22:43:11	pulse	0	85
22:43:12	pulse	0	85
22:43:13	ser	-0.00025440114781431766	{"neutral":0.0300796739757061,"happy":0.08985640108585358,"sad":0.26863905787467957,"angry":0.4833505153656006,"surprise":0.12807434797286987}
22:43:13	pulse	0	85
22:43:14	fer	0.0010590191014147946	{"angry":0.10348109900951385,"happy":0.43121710419654846,"neutral":0.1266876608133316,"sad":0.3198339343070984,"surprise":0.018780162557959557}
22:43:14	pulse	0	86
22:43:15	ser	-0.0002482220675876501	{"neutral":0.033349886536598206,"happy":0.09433307498693466,"sad":0.27843424677848816,"angry":0.4656035006046295,"surprise":0.12827928364276886}
22:43:15	pulse	0	86
22:43:16	pulse	0	87
22:43:16	fer	-0.0005908414306866339	{"angry":0.19225327670574188,"happy":0.07107004523277283,"neutral":0.14560458064079285,"sad":0.5808907747268677,"surprise":0.010181299410760403}
22:43:17	pulse	0	88
22:43:17	ser	-0.00024120308845675467	{"neutral":0.03856687992811203,"happy":0.10224080085754395,"sad":0.2845627963542938,"angry":0.443086713552475,"surprise":0.13154281675815582}
22:43:18	pulse	0	89
22:43:19	ser	-0.00022789929372572446	{"neutral":0.029975900426506996,"happy":0.08881327509880066,"sad":0.27096375823020935,"angry":0.484478622674942,"surprise":0.1257684826850891}
22:43:19	pulse	0	89
22:43:20	fer	0.00021057286429591177	{"angry":0.18249130249023438,"happy":0.24599207937717438,"neutral":0.1369372308254242,"sad":0.43173497915267944,"surprise":0.0028444305062294006}
22:43:20	pulse	0	89
22:43:21	pulse	0	89
